source,SeniorCollector,CollectionNumber,FamilyName,Genus,Species,Subspecific,Author,DeterminationBy,DeterminationYear,qualifier,Rank,CurrentDet,*Institutions,AlternateDet,*Accession Numbers,*Barcodes,year,Date Display,IsCultivated,InCentinelaRidge,Country,UpperName,LowerName,Locality,LatitudeDecimal,LongitudeDecimal,ElevationDisplay,*Coordinate Display,*GeographicKeywords,Description,*Ecological Condition
collections,"Guevara, Juan Ernesto",911219,Rubiaceae,,,,,,,,family,Rubiaceae,QCNE,,,,2021,15-Nov-21,FALSE,FALSE,Ecuador,Santo Domingo de los Tsáchilas,Santa Maria del Toachi,Parroquia El Esfuerzo. Comunidad Polanco. Bosque y Cascadas las Rocas.,-0.478983,-79.188037,720,,,,
collections,"Guevara, Juan Ernesto",911220,Gesneriaceae,,,,,,,,family,Gesneriaceae,QCNE,,,,2021,15-Nov-21,FALSE,FALSE,Ecuador,Santo Domingo de los Tsáchilas,Santa Maria del Toachi,Parroquia El Esfuerzo. Comunidad Polanco. Bosque y Cascadas las Rocas.,-0.478983,-79.188037,720,,,,
collections,"Guevara, Juan Ernesto",911222,Gesneriaceae,,,,,,,,family,Gesneriaceae,QCNE,,,,2021,15-Nov-21,FALSE,FALSE,Ecuador,Santo Domingo de los Tsáchilas,Santa Maria del Toachi,Parroquia El Esfuerzo. Comunidad Polanco. Bosque y Cascadas las Rocas.,-0.478983,-79.188037,720,,,,
collections,"Rivas, Gonzalo",GRC04,Melastomataceae,,,,,,,,family,Melastomataceae,"QCNE, QUSF",,,,2021,13-Nov-21,FALSE,TRUE,Ecuador,Santo Domingo de los Tsáchilas,Santa Maria del Toachi,"Centinela: Respaldo del Bimbe, quebrada patch under antennas",-0.6556444,-79.2910083,660,,,,
collections,"Rivas, Gonzalo",GRC14,Orchidaceae,,,,,,,,family,Orchidaceae,"QCNE, QUSF",,,,2021,13-Nov-21,FALSE,TRUE,Ecuador,Santo Domingo de los Tsáchilas,Santa Maria del Toachi,"Centinela: Respaldo del Bimbe, quebrada patch under antennas",-0.6556444,-79.2910083,660,,,,
collections,"Rivas, Gonzalo",GRC16,Orchidaceae,,,,,,,,family,Orchidaceae,"QCNE, QUSF",,,,2021,13-Nov-21,FALSE,TRUE,Ecuador,Santo Domingo de los Tsáchilas,Santa Maria del Toachi,"Centinela: Respaldo del Bimbe, quebrada patch under antennas",-0.6556444,-79.2910083,660,,,,
collections,"Rivas, Gonzalo",GRC18,Meliaceae,,,,,,,,family,Meliaceae,"QCNE, QUSF",,,,2021,13-Nov-21,FALSE,TRUE,Ecuador,Santo Domingo de los Tsáchilas,Santa Maria del Toachi,"Centinela: Respaldo del Bimbe, quebrada patch under antennas",-0.6556444,-79.2910083,660,,,,
collections,"Rivas, Gonzalo",GRC22,Gesneriaceae,,,,,,,,family,Gesneriaceae,"QCNE, QUSF",,,,2021,13-Nov-21,FALSE,TRUE,Ecuador,Santo Domingo de los Tsáchilas,Santa Maria del Toachi,"Centinela: Respaldo del Bimbe, quebrada patch under antennas",-0.6556444,-79.2910083,660,,,,
collections,"Rivas, Gonzalo",GRC23,Gesneriaceae,,,,,,,,family,Gesneriaceae,"QCNE, QUSF",,,,2021,13-Nov-21,FALSE,TRUE,Ecuador,Santo Domingo de los Tsáchilas,Santa Maria del Toachi,"Centinela: Respaldo del Bimbe, quebrada patch under antennas",-0.6556444,-79.2910083,660,,,,
collections,"Rivas, Gonzalo",GRC24,Gesneriaceae,,,,,,,,family,Gesneriaceae,"QCNE, QUSF",,,,2021,13-Nov-21,FALSE,TRUE,Ecuador,Santo Domingo de los Tsáchilas,Santa Maria del Toachi,"Centinela: Respaldo del Bimbe, quebrada patch under antennas",-0.6556444,-79.2910083,660,,,,
collections,"Rivas, Gonzalo",GRC26,Gesneriaceae,,,,,,,,family,Gesneriaceae,"QCNE, QUSF",,,,2021,13-Nov-21,FALSE,TRUE,Ecuador,Santo Domingo de los Tsáchilas,Santa Maria del Toachi,"Centinela: Respaldo del Bimbe, quebrada patch under antennas",-0.6556444,-79.2910083,660,,,,
collections,"Rivas, Gonzalo",GRC30,Gesneriaceae,,,,,,,,family,Gesneriaceae,"QCNE, QUSF",,,,2021,13-Nov-21,FALSE,TRUE,Ecuador,Santo Domingo de los Tsáchilas,Santa Maria del Toachi,"Centinela: Respaldo del Bimbe, quebrada patch under antennas",-0.6556444,-79.2910083,660,,,,
collections,"Rivas, Gonzalo",GRC32,Gesneriaceae,,,,,,,,family,Gesneriaceae,"QCNE, QUSF",,,,2021,13-Nov-21,FALSE,TRUE,Ecuador,Santo Domingo de los Tsáchilas,Santa Maria del Toachi,"Centinela: Respaldo del Bimbe, quebrada patch under antennas",-0.6556444,-79.2910083,660,,,,
collections,"Rivas, Gonzalo",GRC37,Gesneriaceae,,,,,,,,family,Gesneriaceae,"QCNE, QUSF",,,,2021,14-Nov-21,FALSE,TRUE,Ecuador,Santo Domingo de los Tsáchilas,Santa Maria del Toachi,La Centinela; southwestern side of southernmost mountain.,-0.6667056,-79.3128167,630,,,,
collections,"Rivas, Gonzalo",GRC40,Gesneriaceae,,,,,,,,family,Gesneriaceae,"QCNE, QUSF",,,,2021,14-Nov-21,FALSE,TRUE,Ecuador,Santo Domingo de los Tsáchilas,Santa Maria del Toachi,La Centinela; southwestern side of southernmost mountain.,-0.6667056,-79.3128167,630,,,,
collections,"Rivas, Gonzalo",GRC41,Gesneriaceae,,,,,,,,family,Gesneriaceae,"QCNE, QUSF",,,,2021,14-Nov-21,FALSE,TRUE,Ecuador,Santo Domingo de los Tsáchilas,Santa Maria del Toachi,La Centinela; southwestern side of southernmost mountain.,-0.6667056,-79.3128167,630,,,,
collections,"Rivas, Gonzalo",GRC42,Orchidaceae,,,,,,,,family,Orchidaceae,"QCNE, QUSF",,,,2021,14-Nov-21,FALSE,TRUE,Ecuador,Santo Domingo de los Tsáchilas,Santa Maria del Toachi,La Centinela; southwestern side of southernmost mountain.,-0.6667056,-79.3128167,630,,,,
collections,"White, Dawson M.",835,Rubiaceae,,,,,,,,family,Rubiaceae,"F, QCNE",,,,2021,15-Nov-21,FALSE,FALSE,Ecuador,Santo Domingo de los Tsáchilas,Santa Maria del Toachi,Parroquia El Esfuerzo. Comunidad Polanco. Bosque y Cascadas las Rocas.,-0.478983,-79.188037,720,,,,
TROPextras,"Dodson, Calaway Homer",15530,Orchidaceae,,,,,,,,family,Orchidaceae,MO,,,,1985,2-Feb-85,FALSE,TRUE,Ecuador,,,,,,,,,,
TROPextras,"Dodson, Calaway Homer",16278,Orchidaceae,,,,,,,,family,Orchidaceae,"MO, QCNE, RPSC",,,,1985,18-Dec-85,FALSE,TRUE,Ecuador,,,,,,,,,,
TROPICOS1,"Dodson, Calaway Homer",18976,Orchidaceae,,,,,  ,,,family,Orchidaceae,MO,,,,1992,19-Jan-92,FALSE,TRUE,Ecuador,,,,,,,,,,
TROPICOS2,"Croat, Thomas Bernard",73003,Rubiaceae,,,,,,,,family,Rubiaceae,MO,,,,1992,14-Mar-92,FALSE,TRUE,Ecuador,Pichincha,Santo Domingo de Los Colorados,"Vicinity of El Centinela, 0.2 km past Escuela Mixta El Centinela, along trail to left of road, exactly 13 km E from main Santo Domingo-Quevedo Highway in Patricia Pilar.",-0.53333,-79.18333,1000 m,00°32'S 079°11'W,La Centinela,"Shrub 2 m tall; inflorescence branches white tinged purple; fruits green to purple, immature.",
TROPICOS2,"Croat, Thomas Bernard",73011,Bromeliaceae,,,,,,,,family,Bromeliaceae,MO,,,,1992,14-Mar-92,FALSE,TRUE,Ecuador,Pichincha,Santo Domingo de Los Colorados,"Vicinity of El Centinela, 0.2 km past Escuela Mixta El Centinela, along trail to left of road, exactly 13 km E from main Santo Domingo-Quevedo Highway in Patricia Pilar.",-0.53333,-79.18333,1000 m,00°32'S 079°11'W,La Centinela,Epiphyte; fruits old.,
TROPICOS2,"Croat, Thomas Bernard",73035,Urticaceae,,,,,,,,family,Urticaceae,MO,,,,1992,14-Mar-92,FALSE,TRUE,Ecuador,Pichincha,Santo Domingo de Los Colorados,"Vicinity of El Centinela, 0.2 km past Escuela Mixta El Centinela, along trail to left of road, exactly 13 km E from main Santo Domingo-Quevedo Highway in Patricia Pilar.",-0.53333,-79.18333,1000 m,00°32'S 079°11'W,La Centinela,Less than 1 m tall; inflorescence greenish.,
TROPICOS2,"Dodson, Calaway Homer",6594,Lauraceae,,,,,,,,family,Lauraceae,MO,,2338239,MO-1523898,1976,7-Oct-76,FALSE,TRUE,Ecuador,,,Cloud forest on western slpe. Area of virgin forest just being logged. Km 12 Rd from Patricia Pilar to 24 de Mayo. Montañas de Ila.,,,540 m,,,"Felled tree, fruits green with red cupule.",
TROPICOS2,"Dodson, Calaway Homer",8414,Meliaceae,,,,,,,,family,Meliaceae,MO,,4084503,MO-1113724,1979,15-Jul-79,FALSE,TRUE,Ecuador,Los Ríos,,Collection from path following ridge line ar El Centinela at crest of Montans de lla on road form Patricia Pilar to 24 de Mayo at km 12. Patricia Pilar is at Km 45 on road from Sto Domingo to Quevedo. Pros. Pichincha.,,,600 m,,,Tree to 15 m tall. Flowers green.,
TROPICOS2,"Dodson, Calaway Homer",10296,Campanulaceae,,,,,,,,family,Campanulaceae,,,,,1980,6-Apr-80,FALSE,TRUE,Ecuador,Los Ríos,,"Prov. Los Ríos or Pichincha.  El Centinela, at km 12 on the road from Patricia Pilar to 24 de Mayo, from km 47 on the Santo Domingo-Quevedo road.",-0.6166667,-79.3,600 m,00°37'S 079°18'W,Centinela,Terrestrial ovary and pedicels cerese red. Sepals dark red. Corolla red-green. Column green.,
TROPICOS2,"Dodson, Calaway Homer",11586,Sapotaceae,,,,,,,,family,Sapotaceae,,,,,1981,4-Oct-81,FALSE,TRUE,Ecuador,Pichincha,,Along path following ridge line El Centinela at crest of Montañas de Ila on road from Patricia Pilar to 24 Mayo at Km 12. Patricia Pilar is at Km 45 on road from Santo Domingo to Quevedo.,-0.61666,-79.3,600 m,00°37'S 079°18'W,,Dense tree to 7 m tall along roadside. Flowers green. Fruits green. Sap white.,
TROPICOS2,"Dodson, Calaway Homer",11917,Loranthaceae,,,,,,,,family,Loranthaceae,,,,,1981,15-Oct-81,FALSE,TRUE,Ecuador,,,"Montañas de Ila, road to Saltos del Bimbe, cooperativa de Piedad Algivar, ca. 3 km N of Centinela on ridge line, 3.6 km off road to Centinela.",,,,,Centinela,Parsite in small tree along path. Flowers green.,
TROPICOS2,"Dodson, Calaway Homer",12386,Lauraceae,,,,,,,,family,Lauraceae,SEL,,,,1982,13 feb. 1982,FALSE,TRUE,Ecuador,Pichincha,,Los Rios or Pichincha. Collections fron path following ridge line at El Centinela at crest of Montañas de Ila on road from Patricia Pilar to 24 de Mayo at km 12. Patricia Pilar is at km 45 on road from Sto Domingo to Quevedo,-0.61666,-79.26666,600 m,00°37'S 079°16'W,,Sterile tree 5 m tall. Stems winged. Aromatic.,
TROPICOS2,"Dodson, Calaway Homer",13656,Elaeocarpaceae,,,,,,,,family,Elaeocarpaceae,MO,,3023188,MO-1575660,1983,4-Feb-83,FALSE,TRUE,Ecuador,Los Ríos,,Collecting from path following ridge line at El Centinela at crest of Montanas de IIa on road from Patricia Pilar to 24 de Mayo at km 12. Patricia Pilar is at Km 45 on road from Sto Domingo to Quevedo. Pros. Pichincha.,,,600 m,,,"Tree 25 m tall. Fruits green, buds yellow.",
TROPICOS2,"Dodson, Calaway Homer",14639,Lauraceae,,,,,RL & RA,2014,,family,Lauraceae,MO,,3412255,MO-2120932,1984,30-Jul-84,FALSE,TRUE,Ecuador,Pichincha,,"Centinela, km 12 carretera Patricia Pilar-24 de Mayo, altura de km 47 Santo Domingo-Quevedo. En la cima de las Montanas de Ila.",-0.61666,-79.26666,650 m,"00°37'00""S 079°16'00""W",,Arbolito 2.5 cm dbh.  Esteril.  Aromatica.,
TROPICOS2,"Dodson, Calaway Homer",14657,Moraceae,,,,,"A.H. Gentry,",1984,,family,Moraceae,MO,,3418941,MO-1710797,1984,30-Jul-84,FALSE,TRUE,Ecuador,Pichincha,,"Centinela, km 12 carretera Patricia Pilar 24 de Mayo, altura de km 47 Santo Domingo-Quevedo. En la cima de las Montanas de Ila.",,,650 m,,,Arbol 15 m de alto. Esteril.,
TROPICOS2,"Dodson, Calaway Homer",14727,Lauraceae,,,,,,,,family,Lauraceae,QCNE,,,,1984,31 julio 1984,FALSE,TRUE,Ecuador,Pichincha,,"Centinela, 12 km este de Patricia Pilar. En el km 47 vía Santo Domingo-Quevedo. En bosque virgen de la cima de las montañas de Ila",-0.61666,-79.26666,650 m,00°37'S 079°16'W,,"Árbol, estéril, aromático.",
TROPICOS2,"Dodson, Calaway Homer",14758,Moraceae,,,,,,,,family,Moraceae,MO,,3298663,MO-1978156,1984,31 JUlio 1984,FALSE,TRUE,Ecuador,,,"Centinela, 12 km al este de Patricia Pilar en la cima de las Montanas de Ila.",,,650 m,,,"arbolito 2.5 cm dbh, esterile, aromatico.",
TROPICOS2,"Dodson, Calaway Homer",14782,Fabaceae,,,,,,,,family,Fabaceae,MO,,4618540,MO-954798,1984,31 Julio 1984,FALSE,TRUE,Ecuador,,,"Centinela, 12 km. al este de Patricia Pilar en el km. 47 Santo Domingo a Quevedo en bosque virgin en la cima de las Montanas de Ila. Transect 8.",,,650 m,,,"Arbol 21 cm. dbh, esteril, cascara lisa.",
TROPICOS2,"Dodson, Calaway Homer",14798,Lauraceae,,,,,,,,family,Lauraceae,QCNE,,,,1984,31 julio 1984,FALSE,TRUE,Ecuador,Pichincha,,"Centinela, 12 km este de Patricia Pilar. En el km 47 vía Santo Domingo-Quevedo. En bosque virgen de la cima de las montañas de Ila",-0.61666,-79.26666,650 m,00°37'S 079°16'W,,Árbol 7.5 cm DAP. Estéril.,
TROPICOS2,"Dodson, Calaway Homer",14808,Lauraceae,,,,,,,,family,Lauraceae,MO,,,,1984,31 julio 1984,FALSE,TRUE,Ecuador,Pichincha,,"Centinela, 12 km al este de Patricia Pilar en el km 47 Santo Domingo a Quevedo en bosque Virgen en la Cima de las montañas de Ila. Transecto 9",-0.61666,-79.26666,650 m,00°37'S 079°16'W,,"Árbol 26 cm dbh, 30 cm de alto. Flores verduzco, la mayoria en botones",
TROPICOS2,"Dodson, Calaway Homer",14810,Fabaceae,,,,,(Fab-Caesalp/sp.1)RL,2015,,family,Fabaceae,MO,,3247827,MO-1739005,1984,31-Jul-84,FALSE,TRUE,Ecuador,Pichincha,,"Centinela, 12 km al este de Patricia Pilar en el km 47 Santo Domingo a Quevedo en bosque virgin en la cima de las Montanas de Ila.",-0.61666,-79.3,650 m,"00°37'00""S 079°18'00""W",,"Transect 9. Arbolito 2.5 cm dbh, Esteril.",
TROPICOS2,"Dodson, Calaway Homer",14817,Sapotaceae,,,,,,,,family,Sapotaceae,MO,,3247838,MO-1981402,1984,31-Jul-84,FALSE,TRUE,Ecuador,Pichincha,,"Centinela, 12 km al E de Patricia Pilar en el km 47 Santo Domingo a Quevedo en bosque virgin en la cima de las Montanas de Ila. Transect 10.",,,650 m,,,Arbolito 5 cm DBH. Esteril.,
TROPICOS2,"Dodson, Calaway Homer",15542,Melastomataceae,,,,,,,,family,Melastomataceae,"MO, US",,3278347,MO-1716956,1985,2 Febrero 1985,FALSE,TRUE,Ecuador,Pichincha,,"Centinela, 12 km oeste de patricia Pilar que Queda en km 45 Santo Domingo A Quevedo. Plantas recolectada en la cima de las Montanas de Ila. Bosque pluvial.",-0.61666,-79.3,600 m,"00°37'00""S 079°18'00""W",,Trepadora. Flroes conpetalos rosado.,
TROPICOS2,"Gentry, Alwyn Howard",18049,Melastomataceae,,,,,,,,family,Melastomataceae,MO,,2382556,MO-1728423,1976,9-Oct-76,FALSE,TRUE,Ecuador,Los Ríos,,"Montaña de Ila, 12 km E of Patricia Pilar on road to Río Toachi, near summit.",,,560 m,,Montaña de Ila,,
TROPICOS2,"Løjtnant, Bernt",15806,Bromeliaceae,,,,,,,,family,Bromeliaceae,AAU,,,,1979,7/10/79,FALSE,TRUE,Ecuador,Pichincha,,"Centenela, Montañas de Ila, 12 km E of Patricia Pilar. Virgin rain forest.",-0.56666,-79.31666,550-650 m,00°34'S 079°19'W,,Epiphyte.,
TROPICOS2,"Løjtnant, Bernt",15834,Bromeliaceae,,,,,,,,family,Bromeliaceae,AAU,,,,1979,7/10/79,FALSE,TRUE,Ecuador,Pichincha,,"Centenela, Montañas de Ila, 12 km E of Patricia Pilar. Virgin rain forest.",-0.56666,-79.31666,550-650 m,00°34'S 079°19'W,,Epiphyte.,
TROPICOS2,"Løjtnant, Bernt",15844,Commelinaceae,,,,,,,,family,Commelinaceae,AAU,,,,1979,7/10/79,FALSE,TRUE,Ecuador,Pichincha,,"Centenela, Montañas de Ila, 12 km E of Patricia Pilar. Virgin rain forest.",-0.56666,-79.31666,550-650 m,00°34'S 079°19'W,,"Terrestrial, 1-2 m tall. Inflorescence violet.",
TROPICOS2,"Løjtnant, Bernt",15859,Cyclanthaceae,,,,,,,,family,Cyclanthaceae,AAU,,,,1979,7/10/79,FALSE,TRUE,Ecuador,Pichincha,,"Centenela, Montañas de Ila, 12 km E of Patricia Pilar. Virgin rain forest.",-0.56666,-79.31666,550-650 m,00°34'S 079°19'W,,,
TROPICOS2,"Løjtnant, Bernt",15861,Bromeliaceae,,,,,,,,family,Bromeliaceae,AAU,,,,1979,7/10/79,FALSE,TRUE,Ecuador,Pichincha,,"Centenela, Montañas de Ila, 12 km E of Patricia Pilar. Virgin rain forest.",-0.56666,-79.31666,550-650 m,00°34'S 079°19'W,,Epiphyte.,
TROPICOS2,"Palacios Cuenca, Walter Armando",7461,Caricaceae,,,,,,,,family,Caricaceae,MO,,3885540,MO-2168050,1991,19 junio 1991,FALSE,TRUE,Ecuador,Los Ríos,Quevedo,Cerro Centinela. Montañas de Ila. 10 km al este de Patricia Pilar. Bosque muy húmedo Tropical. Bosque primario.,-0.6166667,-79.8,500 m,00°37'S 079°48'W,,"Planta arbustiva de 1,5 m de altura. Frutos elípticos rojos.",
TROPICOS2,"Palacios Cuenca, Walter Armando",7467,Marcgraviaceae,,,,,,,,family,Marcgraviaceae,MO,,3885538,MO-1185938,1991,19 junio 1991,FALSE,TRUE,Ecuador,Los Ríos,Quevedo,Cerro Centinela. Montañas de Ila. 10 km al este de Patricia Pilar. Bosque muy húmedo Tropical. Bosque primario.,-0.61666,-79.8,500 m,00°37'S 079°48'W,,Hemiepífita. Frutos verdes.,
TROPICOS2,"Rubio, Daniel",39,Clusiaceae,,,,,,,,family,Clusiaceae,MO,,,,1990,3 junio 1990,FALSE,TRUE,Ecuador,Pichincha,,"Cerro Centinela, el Mirador. A 12 km al este de Patricia Pilar y Centro Científico Río Palenque. Bosque muy húmedo Tropical Vestigios de bosque primario.",-0.61666,-79.3,540 m,00°37'S 079°18'W,,Bejuco epífito. Látexcremoso. Frutos blancos.,
